,location,max_cases,date
0,United States,6764962.0,2020-09-20
1,India,5400619.0,2020-09-20
2,Brazil,4528240.0,2020-09-20
3,Russia,1097251.0,2020-09-20
4,Peru,762865.0,2020-09-20
5,Colombia,758398.0,2020-09-20
6,Mexico,694121.0,2020-09-20
7,South Africa,659656.0,2020-09-20
8,Spain,640040.0,2020-09-18
9,Argentina,613645.0,2020-09-20
10,Chile,444674.0,2020-09-20
11,France,442194.0,2020-09-20
12,Iran,419043.0,2020-09-20
13,United Kingdom,390358.0,2020-09-20
14,Bangladesh,347372.0,2020-09-20
15,Saudi Arabia,329271.0,2020-09-20
16,Iraq,315597.0,2020-09-20
17,Pakistan,305671.0,2020-09-20
18,Turkey,301348.0,2020-09-20
19,Italy,296569.0,2020-09-20
20,Philippines,283460.0,2020-09-20
21,Germany,271415.0,2020-09-20
22,Indonesia,240687.0,2020-09-20
23,Israel,183602.0,2020-09-20
24,Ukraine,172712.0,2020-09-20
25,Canada,142774.0,2020-09-20
26,Kazakhstan,138348.0,2020-09-20
27,Bolivia,130470.0,2020-09-20
28,Ecuador,125620.0,2020-09-20
29,Qatar,123146.0,2020-09-20
30,Romania,111550.0,2020-09-20
31,Dominican Republic,107700.0,2020-09-20
32,Panama,105601.0,2020-09-20
33,Egypt,101900.0,2020-09-20
34,Belgium,100654.0,2020-09-20
35,Morocco,99816.0,2020-09-20
36,Kuwait,99049.0,2020-09-20
37,Netherlands,91841.0,2020-09-20
38,Oman,91753.0,2020-09-18
39,China,90333.0,2020-09-20
40,Sweden,88237.0,2020-09-18
41,Guatemala,85152.0,2020-09-20
42,United Arab Emirates,84242.0,2020-09-20
43,Japan,78657.0,2020-09-20
44,Poland,78330.0,2020-09-20
45,Belarus,75461.0,2020-09-20
46,Honduras,71143.0,2020-09-20
47,Ethiopia,68131.0,2020-09-20
48,Portugal,68025.0,2020-09-20
49,Venezuela,65949.0,2020-09-20
50,Bahrain,63879.0,2020-09-20
51,Costa Rica,63712.0,2020-09-20
52,Nepal,62797.0,2020-09-20
53,Singapore,57558.0,2020-09-20
54,Nigeria,57145.0,2020-09-20
55,Uzbekistan,51235.0,2020-09-20
56,Algeria,49623.0,2020-09-20
57,Switzerland,49171.0,2020-09-19
58,Czech Republic,48306.0,2020-09-20
59,Armenia,47154.0,2020-09-20
60,Moldova,46336.0,2020-09-20
61,Ghana,45877.0,2020-09-20
62,Kyrgyzstan,45416.0,2020-09-20
63,Palestine,44763.0,2020-09-20
64,Puerto Rico,40993.0,2020-09-20
65,Afghanistan,39044.0,2020-09-20
66,Azerbaijan,39042.0,2020-09-20
67,Austria,37948.0,2020-09-20
68,Kenya,36829.0,2020-09-20
69,Paraguay,33015.0,2020-09-20
70,Serbia,32840.0,2020-09-20
71,Ireland,32538.0,2020-09-20
72,Lebanon,28297.0,2020-09-20
73,El Salvador,27428.0,2020-09-20
74,Libya,27234.0,2020-09-20
75,Australia,26885.0,2020-09-20
76,Bosnia and Herzegovina,24892.0,2020-09-19
77,South Korea,22975.0,2020-09-20
78,Denmark,21847.0,2020-09-19
79,Cameroon,20431.0,2020-09-20
80,Cote d'Ivoire,19269.0,2020-09-20
81,Bulgaria,18819.0,2020-09-20
82,Hungary,17990.0,2020-09-20
83,Macedonia,16557.0,2020-09-20
84,Madagascar,16020.0,2020-09-20
85,Kosovo,15002.0,2020-09-20
86,Greece,14978.0,2020-09-20
87,Croatia,14725.0,2020-09-20
88,Senegal,14688.0,2020-09-20
89,Zambia,14024.0,2020-09-20
90,Sudan,13535.0,2020-09-15
91,Norway,12645.0,2020-09-19
92,Albania,12226.0,2020-09-20
93,Democratic Republic of Congo,10488.0,2020-09-20
94,Namibia,10292.0,2020-09-20
95,Guinea,10286.0,2020-09-20
96,Malaysia,10167.0,2020-09-20
97,Tunisia,9736.0,2020-09-20
98,Maldives,9649.0,2020-09-20
99,Tajikistan,9303.0,2020-09-20
100,Finland,8922.0,2020-09-20
101,Gabon,8696.0,2020-09-19
102,Haiti,8600.0,2020-09-19
103,Luxembourg,7928.0,2020-08-27
104,Montenegro,7898.0,2020-09-20
105,Zimbabwe,7672.0,2020-09-20
106,Mauritania,7361.0,2020-09-19
107,Slovakia,6546.0,2020-09-20
108,Mozambique,6537.0,2020-09-20
109,Uganda,6017.0,2020-09-20
110,Malawi,5716.0,2020-09-19
111,Djibouti,5403.0,2020-09-19
112,Myanmar,5263.0,2020-09-20
113,Swaziland,5245.0,2020-09-20
114,Cape Verde,5186.0,2020-09-20
115,Cuba,5055.0,2020-09-20
116,Equatorial Guinea,5002.0,2020-09-19
117,Congo,4986.0,2020-09-20
118,Nicaragua,4961.0,2020-09-16
119,Central African Republic,4786.0,2020-09-19
120,Jamaica,4758.0,2020-09-20
121,Suriname,4709.0,2020-09-20
122,Rwanda,4689.0,2020-09-20
123,Jordan,4540.0,2020-09-20
124,Slovenia,4309.0,2020-09-20
125,Angola,3901.0,2020-09-20
126,Trinidad and Tobago,3853.0,2020-09-20
127,Syria,3765.0,2020-09-20
128,Lithuania,3664.0,2020-09-20
129,Thailand,3506.0,2020-09-20
130,Gambia,3504.0,2020-09-20
131,Georgia,3502.0,2020-09-20
132,Aruba,3460.0,2020-09-19
133,Somalia,3442.0,2020-09-20
134,Sri Lanka,3283.0,2020-09-20
135,Bahamas,3214.0,2020-09-20
136,Mali,3006.0,2020-09-20
137,Estonia,2875.0,2020-09-20
138,South Sudan,2642.0,2020-09-20
139,Malta,2634.0,2020-09-19
140,Botswana,2567.0,2020-09-18
141,Iceland,2307.0,2020-09-20
142,Guinea-Bissau,2303.0,2020-09-19
143,Benin,2280.0,2020-09-17
144,Guyana,2168.0,2020-09-20
145,Sierra Leone,2159.0,2020-09-20
146,Guam,2117.0,2020-09-20
147,Yemen,2028.0,2020-09-20
148,Uruguay,1904.0,2020-09-20
149,Burkina Faso,1816.0,2020-09-20
150,Togo,1659.0,2020-09-20
151,Belize,1606.0,2020-09-20
152,Cyprus,1580.0,2020-09-20
153,Andorra,1564.0,2020-09-19
154,Latvia,1515.0,2020-09-20
155,New Zealand,1464.0,2020-09-20
156,Lesotho,1390.0,2020-09-20
157,Liberia,1335.0,2020-09-20
158,French Polynesia,1271.0,2020-09-20
159,United States Virgin Islands,1242.0,2020-09-19
160,Niger,1182.0,2020-09-19
161,Chad,1149.0,2020-09-20
162,Vietnam,1068.0,2020-09-19
163,Sao Tome and Principe,908.0,2020-09-19
164,Western Sahara,766.0,2020-07-15
165,San Marino,723.0,2020-09-16
166,International,705.0,2020-02-27
167,Turks and Caicos Islands,668.0,2020-09-20
168,Sint Maarten (Dutch part),584.0,2020-09-20
169,Papua New Guinea,516.0,2020-09-17
170,Tanzania,509.0,2020-05-08
171,Taiwan,507.0,2020-09-20
172,Burundi,473.0,2020-09-18
173,Comoros,470.0,2020-09-19
174,Faeroe Islands,431.0,2020-09-20
175,Jersey,393.0,2020-09-19
176,Mauritius,367.0,2020-09-20
177,Eritrea,364.0,2020-09-17
178,Gibraltar,346.0,2020-09-20
179,Isle of Man,339.0,2020-09-15
180,Mongolia,312.0,2020-09-20
181,Cambodia,275.0,2020-09-13
182,Bhutan,259.0,2020-09-20
183,Guernsey,254.0,2020-09-19
184,Curacao,247.0,2020-09-20
185,Cayman Islands,209.0,2020-09-19
186,Monaco,192.0,2020-09-20
187,Barbados,185.0,2020-09-17
188,Bermuda,180.0,2020-09-20
189,Brunei,145.0,2020-09-05
190,Seychelles,141.0,2020-09-18
191,Liechtenstein,112.0,2020-09-19
192,Antigua and Barbuda,96.0,2020-09-20
193,British Virgin Islands,71.0,2020-09-20
194,Northern Mariana Islands,68.0,2020-09-20
195,Saint Vincent and the Grenadines,64.0,2020-09-12
196,Bonaire Sint Eustatius and Saba,36.0,2020-09-18
197,Fiji,32.0,2020-09-10
198,Saint Lucia,27.0,2020-09-10
199,Timor,27.0,2020-08-27
200,New Caledonia,26.0,2020-09-04
201,Dominica,24.0,2020-09-10
202,Grenada,24.0,2020-07-30
203,Laos,23.0,2020-09-12
204,Saint Kitts and Nevis,17.0,2020-07-11
205,Greenland,14.0,2020-07-29
206,Falkland Islands,13.0,2020-04-26
207,Montserrat,13.0,2020-07-26
208,Vatican,12.0,2020-05-07
209,Anguilla,3.0,2020-04-03
210,Hong Kong,,2020-09-08
